month yy,mean ride_length by member,mean ride_length by casual
Jul 23,0 days 00:13:21.023373414,0 days 00:25:12.958731155
Aug 23,0 days 00:13:18.660784531,0 days 00:24:21.364279727
Sep 23,0 days 00:12:40.363463159,0 days 00:23:31.988561361
Oct 23,0 days 00:11:38.876960373,0 days 00:21:22.789347659
Nov 23,0 days 00:11:03.076570909,0 days 00:17:52.116842587
Dec 23,0 days 00:10:48.180220302,0 days 00:16:32.064547783
Jan 24,0 days 00:11:33.252167126,0 days 00:15:32.188787895
Feb 24,0 days 00:11:44.622211154,0 days 00:19:49.439324076
Mar 24,0 days 00:11:24.068602686,0 days 00:22:01.783639228
Apr 24,0 days 00:12:17.019401140,0 days 00:24:46.320286553
May 24,0 days 00:13:17.583708611,0 days 00:26:51.971047807
Jun 24,0 days 00:13:41.031050797,0 days 00:26:23.957422720
